geoid,name,population,value,percentile,numerator,denominator
06075012601,126.01,2516,1.35906925081463,0.996277278562259,,
06113011203,112.03,2895,0.757280302745006,0.908857509627728,,
06113010512,105.12,4106,0.238429360453203,0.628369704749679,,
06059076205,762.05,7424,0.149199091017371,0.579332477535302,,
06059075404,754.04,7202,0.197249697783212,0.601925545571245,,
06059052523,525.23,4510,0.559443183816708,0.818613607188703,,
06073010401,104.01,2542,-0.556860693664879,0.18818998716303,,
06037407601,4076.01,4608,-0.767456942493616,0.101155327342747,,
06037400403,4004.03,3906,0.234594520073684,0.625545571245186,,
06071001813,18.13,4855,-0.820620576745409,0.0842105263157895,,
06059001902,19.02,3213,0.198121411349063,0.602439024390244,,
06037134305,1343.05,4183,-0.815137112429967,0.0858793324775353,,
06075020402,204.02,4564,1.13733038961928,0.984980744544288,,
06037900608,9006.08,3445,-0.68663983434895,0.129268292682927,,
06037572002,5720.02,4723,-0.0956249886160602,0.432605905006418,,
06075018000,180,3457,0.607494238928432,0.845314505776637,,
06083002012,20.12,3196,0.0308285897742336,0.508857509627728,,
06037113322,1133.22,4572,0.460499742214797,0.767265725288832,,
06037222002,2220.02,5243,-0.538405457593187,0.194736842105263,,
06065051100,511,7242,-0.192415675041799,0.377792041078305,,
06037119342,1193.42,2911,-0.521458390372907,0.202439024390244,,
06037120106,1201.06,4763,-0.816909579942855,0.0849807445442875,,
06079011501,115.01,1819,0.0189725622075421,0.501026957637997,,
06067003501,35.01,2393,0.280784250406824,0.653145057766367,,
06037404803,4048.03,1719,-0.338934069204588,0.296662387676508,,
06029002000,20,6941,-1.27833383526078,0.00898587933247754,,
06037534406,5344.06,5027,-0.774249485614438,0.0980744544287548,,
06073019205,192.05,6273,-0.351670020613771,0.290885750962773,,
06071000823,8.23,6604,-0.10097450402424,0.429139922978177,,
06085503218,5032.18,5118,-0.452068358491958,0.238382541720154,,
06037294820,2948.20,3473,-1.17104905946565,0.0169448010269576,,
06037311300,3113,3896,0.394544056337545,0.725545571245186,,
06001450605,4506.05,3893,0.945089373008416,0.958793324775353,,
06037127103,1271.03,3109,-0.405013802243141,0.263029525032092,,
06001406601,4066.01,4955,-0.0756219474147212,0.44390243902439,,
06001427700,4277,5201,0.711415155896756,0.890757381258023,,
06059099417,994.17,4845,0.629494244078757,0.855584082156611,,
06037431600,4316,4190,0.458865021380514,0.766367137355584,,
06075017802,178.02,6367,0.0910945340917785,0.544415917843389,,
06029006007,60.07,6245,-0.461029739207448,0.232862644415918,,
06037535606,5356.06,2007,-0.816995443840796,0.0848523748395379,,
06037269903,2699.03,3421,0.350126259283012,0.695250320924262,,
06065044917,449.17,5033,0.130098297497018,0.567522464698331,,
06099002604,26.04,4801,-0.88080921202511,0.0693196405648267,,
06037269906,2699.06,3158,0.599676745778915,0.840436456996149,,
06037900701,9007.01,5012,-1.03433583370835,0.0341463414634146,,
06059062638,626.38,6737,0.577714921341651,0.828241335044929,,
06037920337,9203.37,6943,-0.460893886218159,0.233119383825417,,
06037603006,6030.06,1898,0.069009421807064,0.530295250320924,,
06055200704,2007.04,5312,-0.0174695122397625,0.479460847240051,,
06037302302,3023.02,5337,-0.434085743793514,0.246983311938383,,
06059099412,994.12,4875,0.521013546114494,0.798587933247754,,
06037218701,2187.01,2324,-0.401095715092288,0.264698331193838,,
06073012304,123.04,3696,-0.0486887092520789,0.461360718870347,,
06073013104,131.04,6473,-0.371019165239868,0.27997432605905,,
06037576402,5764.02,5015,-0.811233588422517,0.0870346598202824,,
06065044510,445.10,6649,-0.93081389646627,0.0577663671373556,,
06037190802,1908.02,2982,-0.470824862896244,0.228626444159178,,
06037111301,1113.01,7552,-0.105102660809391,0.427086007702182,,
06067009106,91.06,4178,0.137645842284639,0.571758664955071,,
06037229420,2294.20,4759,-0.90890996015373,0.0635430038510911,,
06073016302,163.02,5865,-0.541600888691304,0.193838254172015,,
06085503329,5033.29,4107,0.92127608466028,0.955455712451861,,
06037600912,6009.12,5659,-0.305354940028998,0.313992297817715,,
06037650502,6505.02,4259,0.54190924394806,0.809499358151476,,
06065044930,449.30,3606,-0.172625412115426,0.389602053915276,,
06037275602,2756.02,12100,0.694684200345069,0.883055198973042,,
06037620002,6200.02,3493,0.615072474767185,0.849293966623877,,
06075015200,152,4277,0.385778979023166,0.719768934531451,,
06025011803,118.03,6106,-0.120760529801331,0.418356867779204,,
06027000200,2,1878,0.0659596493191102,0.52798459563543,,
06029006303,63.03,5922,-1.21477186765716,0.0127086007702182,,
06029005204,52.04,5963,-0.930194915477087,0.0578947368421053,,
06001437500,4375,4531,-0.167766766438967,0.39191270860077,,
06013302009,3020.09,7279,0.186265760919598,0.594993581514763,,
06055200203,2002.03,2231,0.24088085681382,0.629910141206675,,
06111001302,13.02,2358,-0.36606081077787,0.282798459563543,,
06065044805,448.05,1590,0.110907189645962,0.556225930680359,,
06001423200,4232,2982,0.172184043823196,0.589088575096277,,
06001428000,4280,2877,0.280443168251693,0.652888318356868,,
06071001308,13.08,4643,-0.425149794512673,0.252503209242619,,
06053000200,2,7489,-0.357900288569712,0.286777920410783,,
06111004710,47.10,5707,-0.346941169848805,0.292682926829268,,
06037530301,5303.01,2211,-0.631158843606163,0.15186136071887,,
06085506803,5068.03,7344,0.631498894805199,0.85609756097561,,
06037433601,4336.01,5066,-0.187066236998324,0.381643132220796,,
06061022500,225,4721,0.237662254370933,0.626829268292683,,
06071001804,18.04,5250,-0.0404882521954542,0.466367137355584,,
06001441927,4419.27,4492,0.523345605275687,0.799743260590501,,
06037218110,2181.10,3195,-0.394899692951258,0.268421052631579,,
06037404903,4049.03,2738,-0.266003011185175,0.337612323491656,,
06037601211,6012.11,2880,-0.488456715137123,0.219768934531451,,
06065042405,424.05,5324,-0.928693060170997,0.0589216944801027,,
06037139600,1396,5060,0.147760464163174,0.578177150192555,,
06037532604,5326.04,2739,-0.629673926076606,0.152503209242619,,
06001406400,4064,2545,-0.187109091596657,0.381514762516046,,
06037501804,5018.04,2175,-0.498358917838901,0.215147625160462,,
06019005909,59.09,8035,0.351362142577145,0.69589216944801,,
06059099224,992.24,3448,0.154978188605659,0.582156611039795,,
06059099245,992.45,2948,0.443780164767719,0.756867779204108,,
06037134423,1344.23,3539,0.140431506772211,0.573427471116816,,
06085500100,5001,8306,0.315416417141858,0.675353016688062,,
06037242000,2420,4189,-1.16622427591323,0.0173299101412067,,
06037240600,2406,6167,-1.04584383599968,0.0322207958921694,,
06073008510,85.10,7083,0.104351101470162,0.552374839537869,,
06095252910,2529.10,5610,0.374168669144523,0.713093709884467,,
06065040901,409.01,8029,-0.0929782664206941,0.434146341463415,,
06061020714,207.14,4007,0.423818527451729,0.74415917843389,,
06071003700,37,3782,-1.07516241963689,0.0277278562259307,,
06111003605,36.05,9631,0.163018530278694,0.585109114249037,,
06073004300,43,3943,0.410486764508503,0.734916559691913,,
06059001101,11.01,5031,0.413234364033502,0.736585365853659,,
06059001304,13.04,3982,-0.488553996574435,0.219640564826701,,
06081610100,6101,2544,0.479573215761019,0.778048780487805,,
06019000902,9.02,5191,-1.51867939181574,0.00256739409499358,,
06067009318,93.18,2480,-0.408831276849831,0.261232349165597,,
06085508602,5086.02,5054,0.936873660072324,0.957381258023107,,
06037554600,5546,4173,-0.0701849091170839,0.446854942233633,,
06001443104,4431.04,5620,0.75397050146861,0.90808729139923,,
06037221302,2213.02,4373,-0.733615051151344,0.112323491655969,,
06067008911,89.11,2648,-0.465379461653733,0.231193838254172,,
06037123520,1235.20,2816,-0.584858772135434,0.175609756097561,,
06019007002,70.02,4943,-0.704672419563657,0.122464698331194,,
06029003114,31.14,7835,-0.604615369089933,0.165340179717587,,
06073001600,16,5821,-0.347547148641742,0.292297817715019,,
06037212501,2125.01,1940,-0.220558294875427,0.360975609756098,,
06079013000,130,2741,0.271145430717157,0.64813863928113,,
06085511707,5117.07,2820,0.981691223803802,0.965853658536585,,
06065040404,404.04,2972,-0.146641528380339,0.403594351732991,,
06111004711,47.11,3552,-0.172872610862026,0.389473684210526,,
06073010111,101.11,3230,-0.619659026992107,0.157124518613607,,
06077003306,33.06,4993,-0.507795963285525,0.210269576379974,,
06037482401,4824.01,3670,-0.226212798498152,0.356611039794608,,
06001443301,4433.01,4355,0.848641786942516,0.93594351732991,,
06075023001,230.01,5398,0.158154751555811,0.582926829268293,,
06075023003,230.03,4084,0.369413013549164,0.709884467265725,,
06075016300,163,4658,0.982688999603666,0.965982028241335,,
06045011102,111.02,4188,-0.124057438986551,0.416816431322208,,
06111008004,80.04,5292,0.28377385276395,0.655584082156611,,
06019005802,58.02,4800,0.45912284063613,0.766623876765083,,
06073016616,166.16,4441,-0.107961066670328,0.425802310654685,,
